Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:13a462486f178588dc35a77212abf3235e39735aac7d0b8166b8bd2882b1eb22	amd64	Linux	Ubuntu 20.04	5.0.0-preview.4	5.0/aspnet/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 15.44.17.00
sha256:147df1fab7cc81d248edd5349e9af2cae97ebb0523ad33b5a5b669edd869ef8c	amd64	Linux	Debian 10	5.0.0-preview.7	src/runtime-deps/5.0/buster-slim/amd64/Dockerfile	dotnet/nightly/runtime-deps	2020-06-30 00.28.12.00
sha256:14b0614d99654e72fea86a9186eef8aa80081921112a4836bb3ce16c195767e7	amd64	Windows	"Windows Server, version 2004"	5.0.0-preview.8	src/runtime/5.0/nanoserver-2004/amd64/Dockerfile	dotnet/nightly/runtime	2020-08-17 13.37.27.00
sha256:14bf3fc3277151356735c5faaf0366567b7109044f28b9502c9bc7f2a533e6dc	arm64	Linux	Alpine 3.12	3.1.5	src/aspnet/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-06-29 20.47.16.00
sha256:14cc9d68b09e8c0365550f0253f99bb8f893dceae1f9ab026863bb865ba7c50f	arm64	Linux	Alpine 3.11	5.0.0-preview.4	5.0/aspnet/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 14.05.04.00
sha256:14fd7b2dffaf0158409b745a35141a5fe32e3aa0d6c06be48e80e7469bb019a2	amd64	Linux	Alpine 3.12	2.1.807	src/sdk/2.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-30 00.28.37.00
sha256:150a0a2801937e9994cef775818a62904c9d9d9685bcf0891c5e6a23edca94c0	arm64	Linux	Debian 10	3.1.4	3.1/aspnet/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-05-15 13.09.43.00
sha256:15947c5cea9521a9085061ec4ee34fb0471cef80956a2de2b22110669783c28c	amd64	Linux	Ubuntu 18.04	3.1.3	3.1/aspnet/bionic/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.28.31.00
sha256:16a323f56ee7732dfdbcaa87fe03d1c7b8186e68e6f71646b168a8a807ff9cdf	arm32	linux	Ubuntu 18.04	2.1.17	2.1/aspnet/bionic/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-04-22 01.51.15.00
sha256:16a7a8f6f78b0dc829e2533c3cf085779ef96fcf8c541ede5e97d551328e818a	amd64	Linux	Alpine 3.12	5.0.0-preview.7	src/runtime/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/runtime	2020-06-29 20.47.16.00
