Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:00f77b2aaeea8b8588797cb587535d57e13d88999c6b595b4c8d3087c24c0b06	amd64	Windows	"Windows Server, version 1909"	2.1.20	src/aspnet/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-22 15.25.35.00
sha256:010281c56aa41a66205476db3558b4a11a6233daf8009a6232440c756b49e513	arm64	Linux	Alpine 3.12	3.1.6	src/aspnet/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-08-11 14.20.00.00
sha256:0105bd6a1be83c8b1bc8d8130b7fc4e2b0b030cafdfdfdbd7e81a6f72abe965a	arm64	Linux	Debian 10	3.1.301	src/sdk/3.1/buster/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-07-08 14.32.45.00
sha256:010866a53052e1b89e074731ce9e46b2be99a5b820dbdbf41f430a46560d1b54	arm32	Linux	Ubuntu 18.04	3.1.302	src/sdk/3.1/bionic/arm32v7/Dockerfile	dotnet/core-nightly/sdk	2020-07-20 14.34.21.00
sha256:010be5c0e678fbc6b0e02b8b20bab8eaea425b0180ba1038798293776dbcfebb	amd64	Linux	Alpine 3.12	3.1.6	src/runtime/3.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-08-04 12.43.36.00
sha256:0111ccd892347e4ca28b968a9642491232cdaa13a5f33d4a303ff846c679b172	arm32	Linux	Debian 9	2.1.19	2.1/aspnet/stretch-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-06-11 12.46.26.00
sha256:011e145c82faa84703e2708a5f0be562b23b67ec66316cbda2914d8309debfa8	arm64	Linux	Ubuntu 18.04	3.1.302	src/sdk/3.1/bionic/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-07-30 14.14.56.00
sha256:012574c2e55958407127e5d41477580410fcce1947ae3a4c2cb209e0a4bf88ce	amd64	Windows	Windows Server 2019	2.1.19	src/runtime/2.1/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-19 14.35.31.00
sha256:01290b5d7c54f8c0f829a042efe7ca7c050043ac5634a0938a87e5cf141bac3f	arm32	Linux	Debian 10	5.0.0-rc.2	src/runtime/5.0/buster-slim/arm32v7/Dockerfile	dotnet/nightly/runtime	2020-09-24 18.39.38.00
sha256:012f4c247fae3551cc4a92456d658251dafc71ddc289ad6f787685e68d570c2d	arm64	Linux	Alpine 3.12	5.0.0-preview.5	5.0/runtime/alpine3.12/arm64v8/Dockerfile	dotnet/nightly/runtime	2020-06-04 17.01.57.00
sha256:013e5a3b5e6ac42658c597d7f2c038a37ee9444f3973e025e8d9141607bef920	amd64	Windows	Windows Server Core 2019	6.0.0-alpha.1	src/aspnet/6.0/windowsservercore-ltsc2019/amd64/Dockerfile	dotnet/nightly/aspnet	2021-01-19 15.15.26.00
sha256:0143082e19a7e5ae4109e62bfa8dbbd40d4f7997015ba9ed197de5863569ece0	amd64	Linux	Alpine 3.12	3.1.5	monitor/5.0/alpine/amd64/Dockerfile	dotnet/nightly/monitor	2020-06-11 12.47.02.00
