Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:eae9cb1cf213388d0f64220463a9c5d64d99e664f18f8c36345319a5a59a8829	amd64	Linux	Ubuntu 18.04	3.1.8	src/runtime-deps/3.1/bionic/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:59.0000000
sha256:2136d564bae9d5fae431cfa0a418376089bbe3fa9d51f11d1a9322b2f167f70b	arm32	Linux	Debian 9	2.1.22	src/aspnet/2.1/stretch-slim/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:00.0000000
sha256:eb5af3d836630f8ce943fa1bf6d9af4c7cbddf2bc02f8b29363635595f8a12b4	arm64	Linux	Debian 10	3.1.8	src/aspnet/3.1/buster-slim/arm64v8/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:00.0000000
sha256:806029f7ce605fd7aef9e30b9859bf447660fa7940ea735c75f520d6081549c4	amd64	Linux	Ubuntu 20.04	2.1.22	src/runtime/2.1/focal/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:47:00.0000000
sha256:c30be0d36e4578d5dac16d4186ee6690e1a5dfd06276fd64e6dee13eec24b167	amd64	Linux	Debian 9	2.1.22	src/runtime/2.1/stretch-slim/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:47:00.0000000
sha256:079abdd4840e4d3cbb942f3d028dac81b88ff662378be8ebac086bd2ea7480e1	arm64	Linux	Ubuntu 20.04	3.1.8	src/aspnet/3.1/focal/arm64v8/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:02.0000000
sha256:2d6c982a6492ec2ddb05b6a452aebde6081c40ad569d960550b59a8a646f46e1	amd64	Linux	Alpine 3.11	3.1.8	src/runtime/3.1/alpine3.11/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:47:03.0000000
sha256:ba9ebeae9b1c4de3d2938d41b8beba579aeb00aa787bb5a77062359bead49dc7	amd64	Linux	Ubuntu 20.04	2.1.22	src/aspnet/2.1/focal/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:08.0000000
sha256:17d4e9077661452428d0b3c237e7b81b7ebade979ffc34a8c8ecce5ae1cec785	amd64	Linux	Debian 9	2.1.22	src/aspnet/2.1/stretch-slim/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:08.0000000
sha256:4feda59798b4cd6fe07abc742e266956f930c427d77118ecde8a689209337d59	amd64	Linux	Alpine 3.11	3.1.8	src/aspnet/3.1/alpine3.11/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:08.0000000
sha256:0d9e3692dc644fa0e0103d386a737d1c7d14519a27e80ffaa1328089cf474bc1	amd64	Linux	Alpine 3.11	2.1.22	src/aspnet/2.1/alpine3.11/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:10.0000000
sha256:9d66bedd0769744a5e9d048a77718d5cb8026653181a661982d8923fec9c4ffd	amd64	Linux	Ubuntu 18.04	3.1.8	src/runtime/3.1/bionic/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:47:10.0000000
sha256:a3587ff4b0d4eed1052b76eee677e304e22dfe106e3e414e3854118ca2b5e3a5	arm32	Linux	Ubuntu 20.04	3.1.402	src/sdk/3.1/focal/arm32v7/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:11.0000000
sha256:7c9efdde81a4277a9f5cb975e77e3f544fc08f2928c10aeb797cac0e7a0264d6	amd64	Linux	Ubuntu 18.04	3.1.8	src/aspnet/3.1/bionic/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:47:13.0000000
sha256:8438bdf04064fe0d4611a92ca9403aff40792d6d310d8b225a615e010f685f2e	amd64	Linux	Ubuntu 20.04	2.1.810	src/sdk/2.1/focal/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:19.0000000
sha256:6d457d73cbcf8de91cbc9c22dd2f202cb076ce7495c35114442e91421a1986c5	amd64	Linux	Debian 9	2.1.810	src/sdk/2.1/stretch/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:22.0000000
sha256:9a672a2fb5934d666806bf678b476a4f2adacaa74fa5d4fe8406fa855437053c	amd64	Linux	Alpine 3.12	3.1.402	src/sdk/3.1/alpine3.12/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:23.0000000
sha256:1a8bed263e450ad8370d32006df616a0c0ff0caa226edae4807093153844361a	arm32	Linux	Ubuntu 18.04	3.1.402	src/sdk/3.1/bionic/arm32v7/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:26.0000000
sha256:96c7f05281aa94f2938b08b82b2d875f6c8b2a262a01d59cd7777b1fa16ae2c3	amd64	Linux	Ubuntu 18.04	2.1.810	src/sdk/2.1/bionic/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:27.0000000
sha256:857fa767ad2974b7ff0712797d823cb1c470c50b37c00b11fd8772cb4c7015f3	amd64	Linux	Alpine 3.11	3.1.402	src/sdk/3.1/alpine3.11/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:47:32.0000000
sha256:cf2926614a3c1d2e33b71082e3181453b17558ced3f2c636870deac306dddde2	arm64	Linux	Ubuntu 18.04	3.1.8	src/runtime-deps/3.1/bionic/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:47:40.0000000
sha256:2882a89ae872dee4e3626f693c06d3f1af89fbae7bf5cc8c39febca59205f996	arm32	Linux	Ubuntu 20.04	2.1.22	src/runtime-deps/2.1/focal/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:47:48.0000000
sha256:8892a1f20ce1a00989829007ee981a1c3e0828710faeffb97f0aecd88799c8f4	amd64	Linux	Alpine 3.12	2.1.810	src/sdk/2.1/alpine3.12/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:48:03.0000000
sha256:7bb5700e2e8606b4ba60408541fc4731f1acce2e63c1ed93073a5a4d3ae52465	arm32	Linux	Ubuntu 18.04	2.1.22	src/runtime/2.1/bionic/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:48:26.0000000
sha256:cd027970cab5a720acb183d1455408679c2a6b899601ca8bc12aae79af422011	arm32	Linux	Ubuntu 18.04	3.1.8	src/runtime/3.1/bionic/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:48:27.0000000
sha256:3b2bb96292acc1b6faafd24e326674421bdba4749340d86167f1551bc649b78c	arm32	Linux	Ubuntu 18.04	2.1.22	src/aspnet/2.1/bionic/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:48:32.0000000
sha256:9963d00fe7ece79591ddf617a531869d1ed1b41afb93f9b22168acf9109df0a1	arm32	Linux	Ubuntu 18.04	3.1.8	src/aspnet/3.1/bionic/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:48:32.0000000
sha256:1a5c463fad82449e4ea57dbd5b71163d72e98bd6c92735fa7331abd9de9cfdf2	amd64	Linux	Alpine 3.11	2.1.810	src/sdk/2.1/alpine3.11/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:48:52.0000000
sha256:1c7954e4a7aed155a812ff175893d3c6a5f3a1383595fa59ecb763c5723e1497	arm32	Linux	Debian 10	3.1.8	src/runtime-deps/3.1/buster-slim/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:48:57.0000000
sha256:b1a5273c72d62687381573d4274f202dead0ea6461425a1768675223f61c6f4c	amd64	Windows	Windows Server 2019	3.1.402	src/sdk/3.1/nanoserver-1809/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:49:10.0000000
sha256:082c75c3abc3b38ec65bc863db3de4c4abe09b877d539eed4d01f51d089d0aea	arm64	Linux	Ubuntu 18.04	3.1.8	src/runtime/3.1/bionic/arm64v8/Dockerfile	dotnet/core/runtime	2020-09-08 15:49:16.0000000
sha256:07e7d162dcb5ea798864401c7dcaa4ee264afa55222a1e62e4b75dbab63008c2	arm32	Linux	Debian 10	3.1.8	src/runtime/3.1/buster-slim/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:49:16.0000000
sha256:09aed743ab9969369ce39e3304d8bf56d7ae492025599e2cf3ff43256ca957a6	arm32	Linux	Ubuntu 20.04	2.1.22	src/runtime/2.1/focal/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:49:19.0000000
sha256:f11346644699b09e405c4512cf07cce25986f8f9250824b5c31a5b48ceb22b11	arm64	Linux	Ubuntu 18.04	3.1.8	src/aspnet/3.1/bionic/arm64v8/Dockerfile	dotnet/core/aspnet	2020-09-08 15:49:20.0000000
sha256:3e07918703616ee49da9b60cf62c2e276886b4bdfd4f4ac60cdc6be5eec0b114	arm32	Linux	Debian 10	3.1.8	src/aspnet/3.1/buster-slim/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:49:21.0000000
sha256:08f3e309fcb152d5991e121f024aef7abe1f68b452ed4da4129ebbdd56555524	amd64	Windows	"Windows Server, version 1903"	3.1.402	src/sdk/3.1/nanoserver-1903/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:49:24.0000000
sha256:a8740be2d8ebd8e6673b29a7c624387adb77dfa18d1e1cb1f9994728a9545b8d	amd64	Windows	"Windows Server, version 2004"	3.1.402	src/sdk/3.1/nanoserver-2004/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:49:24.0000000
sha256:a633ae79b0b081dcf0922b7adae214c5aa2a3837c186c09bf4764b678bec2042	arm32	Linux	Ubuntu 20.04	2.1.22	src/aspnet/2.1/focal/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:49:25.0000000
sha256:917f383a571800a2e4007eb4d8ce1beb017cbe2585406a189f0bedc744dd91e9	amd64	Windows	"Windows Server, version 1909"	3.1.402	src/sdk/3.1/nanoserver-1909/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:49:25.0000000
sha256:2dbb2a04551260d8d96cd8e09821da1e54e41d4c83382dc4206f74c93fc82aea	arm32	Linux	Ubuntu 20.04	3.1.8	src/runtime-deps/3.1/focal/arm32v7/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:50:18.0000000
sha256:a69067eda31506f341cd029f3eacd174b3c0448ee9ce2c62229e041f13144f9b	amd64	Windows	"Windows Server, version 2004"	2.1.810	src/sdk/2.1/nanoserver-2004/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:50:28.0000000
sha256:7a24ed8bc2d6575075952388c70d7506fef7d7a142c21cfe31a35ec3c973595f	amd64	Windows	Windows Server 2019	2.1.810	src/sdk/2.1/nanoserver-1809/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:50:30.0000000
sha256:ec4d1edbb9b358647e1108292cc1a8e9e1c3f70ae42b07dffd1e21b25cfecfa2	amd64	Windows	"Windows Server, version 1909"	2.1.810	src/sdk/2.1/nanoserver-1909/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:50:39.0000000
sha256:4f25628f5a4db0ea7e6c71d26354253ad73551304ce5c89a974c72e7200c20d3	arm32	Linux	Ubuntu 20.04	3.1.8	src/runtime/3.1/focal/arm32v7/Dockerfile	dotnet/core/runtime	2020-09-08 15:50:52.0000000
sha256:378016ec0e39e7e6046dc1be23b1e71792efd609472d972da40b366d5d6e679b	arm32	Linux	Ubuntu 20.04	3.1.8	src/aspnet/3.1/focal/arm32v7/Dockerfile	dotnet/core/aspnet	2020-09-08 15:50:58.0000000
sha256:1356e731a2e15741270e42f4b3e1bb894375861bd7c203e3693195acb66e6827	amd64	Windows	"Windows Server, version 1903"	2.1.810	src/sdk/2.1/nanoserver-1903/amd64/Dockerfile	dotnet/core/sdk	2020-09-08 15:51:56.0000000
